custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid
4505201,-86.012589,40.0459,1067233610,1,2.0,106.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0
4505202,-86.014285,40.047088,1148898540,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0
4505203,-86.078862,40.050435,1297431853,1,8.0,424.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505204,-86.005506,39.979793,1330250289,1,3.0,159.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505205,-86.114469,40.001055,1278186084,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505206,-86.025548,39.928475,1197861497,4,32.0,1696.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505207,-86.014454,39.949399,1291644064,1,2.0,106.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505208,-86.070546,39.884109,1279030261,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505223,-86.000958,40.04246,19491175,1,2.0,106.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0
4505224,-86.014266,40.047027,1148898540,1,2.0,106.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505225,-86.126786,40.054474,1115648467,2,16.0,848.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505226,-86.029792,40.050604,1278367096,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505227,-86.00619,39.992614,1278259819,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505228,-86.005168,40.001743,1278269729,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505229,-86.014412,39.957772,1278452936,12,24.0,1272.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505230,-86.0242,39.926498,1197861429,1,6.0,318.0,2,2,1,0,0,1,0,0,0,A,0,0,1,0
4505231,-86.013031,39.96108,1282032360,1,6.0,318.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0
4505245,-85.993903,40.049221,1278374347,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505246,-86.01918,40.050378,1165272614,1,8.0,424.0,2,2,1,0,0,1,0,0,0,A,1,0,1,0
4505247,-86.030489,40.045627,1309140754,2,16.0,848.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505248,-86.002006,39.993041,1278264469,2,16.0,848.0,2,1,1,0,0,0,0,0,0,A,0,0,1,0
4505249,-86.002006,39.993041,1278264469,3,24.0,1272.0,2,2,0,0,0,1,1,0,0,A,1,0,1,0
4505250,-86.043399,39.955404,1240909797,1,6.0,318.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505251,-86.012398,39.954022,1278394692,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505252,-86.012427,39.953967,1278394692,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505253,-86.092768,39.905548,1196915642,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505254,-86.092809,39.905546,1196915642,1,10.0,530.0,1,5,1,1,1,1,1,0,0,A,1,0,1,0
4505255,-86.100023,39.910419,125144429,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0
4505256,-86.053299,39.892299,1279023634,1,8.0,424.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
4505270,-86.013006,40.045135,1297408204,1,2.0,106.0,2,2,1,0,0,0,1,0,0,A,0,0,1,0
4505271,-86.005743,40.013117,1297364546,1,8.0,424.0,1,2,1,0,0,1,0,0,0,A,0,0,1,0
4505272,-86.104417,40.082937,1336027517,1,2.0,106.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505273,-86.033831,40.026246,1278330029,1,8.0,424.0,1,1,1,0,0,0,0,0,0,A,0,0,1,0
4505274,-86.00619,39.988256,1291636789,2,16.0,848.0,2,5,1,1,1,1,1,0,0,A,1,0,1,0
4505275,-86.042862,39.955392,1240909797,1,6.0,318.0,1,2,1,0,0,0,1,0,0,A,0,0,1,0
4505276,-86.027207,39.927493,1148890603,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0
4505277,-86.037004,39.925472,1148893264,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505278,-86.092274,39.904686,1196915642,1,8.0,424.0,1,4,1,1,0,1,1,0,0,A,0,0,1,0
4505279,-86.087111,39.925613,1278977166,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0
4505280,-86.10392,39.908503,125170204,1,4.0,212.0,1,5,1,1,1,1,1,0,0,A,0,0,1,0
