custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
11161428,-88.074147,44.966073,00005557-4900-0400-0000-0000001bfb92,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161429,-88.066466,44.961987,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161435,-88.091463,44.967684,00005557-4900-0400-0000-0000000c6c1d,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161439,-88.066599,44.944874,00005557-4900-0400-0000-0000000c6cbd,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161440,-88.082255,44.950583,00005557-4900-0400-0000-0000001bfb8d,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161441,-88.081434,44.96396,00005557-4900-0400-0000-0000001bfb92,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161442,-88.080832,44.959305,00005557-4900-0400-0000-0000000c6b62,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161443,-88.099306,44.951857,e7c57f13-d922-49a5-9e8c-09efbd0c6d2c,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161444,-88.093348,44.951524,00005557-4900-0400-0000-0000001bfb7d,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161445,-88.141066,44.967812,00005557-4900-0400-0000-0000000c88e8,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161446,-88.130921,44.96767,00005557-4900-0400-0000-0000001bfef8,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161449,-88.238354,44.96195,a980a535-6b11-4a8d-984f-ae725fd39161,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161450,-88.246033,44.97762,00005557-4900-0400-0000-0000001b9424,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161451,-88.231357,44.962572,00005557-4900-0400-0000-0000001bfec9,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161452,-88.070163,44.951763,00005557-4900-0400-0000-0000001bfb8c,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161453,-88.228653,44.962387,00005557-4900-0400-0000-0000001bfec9,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161454,-88.193356,44.9531,00005557-4900-0400-0000-0000000c8837,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161460,-88.069873,44.949545,00005557-4900-0400-0000-0000000c6cb7,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161462,-88.086817,44.984675,00005557-4900-0400-0000-0000001e7256,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161463,-88.084219,44.987199,00005557-4900-0400-0000-0000000c6b71,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161464,-88.2330367,44.95599443,00005557-4900-0400-0000-0000001bfeca,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161465,-88.078546,44.98229,00005557-4900-0400-0000-0000001bfb94,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161466,-88.080735,44.982291,00005557-4900-0400-0000-0000001bfb94,1,8.0,240.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161467,-88.244084,44.989676,00005557-4900-0400-0000-0000001bfed2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161468,-88.09067,44.986789,00005557-4900-0400-0000-0000001e7257,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161470,-88.104099,44.951995,8de3670f-cf52-49a7-8159-5c4d6c143775,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161471,-88.06866,44.97828,00005557-4900-0400-0000-0000000c6bb7,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161473,-88.208109,44.960304,00005557-4900-0400-0000-0000000c8884,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161475,-88.133656,44.980154,00005557-4900-0400-0000-0000001bff05,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161476,-88.067349,44.988771,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161477,-88.084249,44.990043,00005557-4900-0400-0000-0000001bfb86,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161478,-88.08966,44.988482,00005557-4900-0400-0000-0000001bfb85,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161479,-88.198016,45.002652,f3fff74d-55fa-4d2a-aa80-1954001a88e1,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161482,-88.105661,44.997159,00005557-4900-0400-0000-0000001bfb87,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161483,-88.063017,45.001157,00005557-4900-0400-0000-0000001bfbb2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161484,-88.101579,45.029085,00005557-4900-0400-0000-0000000a95c3,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161485,-88.116376,45.030801,00005557-4900-0400-0000-0000000a95c2,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161487,-88.167292,44.959241,00005557-4900-0400-0000-0000001bfee7,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161489,-88.093634,44.996632,00005557-4900-0400-0000-0000000c6c0e,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161492,-88.099041,45.021588,00005557-4900-0400-0000-0000001b93f2,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161493,-88.214758,44.95983,00005557-4900-0400-0000-0000000c884a,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161494,-88.257132,44.984632,00005557-4900-0400-0000-0000000c7390,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161495,-88.191342,44.959324,00005557-4900-0400-0000-0000000c8888,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161496,-88.135466,45.04718,00005557-4900-0400-0000-0000000c5c8a,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161497,-88.148235,45.05286,00005557-4900-0400-0000-0000000c59c3,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161498,-88.146748,45.057157,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161499,-88.114471,45.024156,00005557-4900-0400-0000-0000001b962f,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161500,-88.06566422,45.00185894,00005557-4900-0400-0000-0000000c6bdb,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161501,-88.119129,45.014503,00005557-4900-0400-0000-000000003faa,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161502,-88.279442,45.013869,00005557-4900-0400-0000-0000001bfca2,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161503,-88.271628,45.010228,00005557-4900-0400-0000-0000000c735d,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161504,-88.142124,45.047139,00005557-4900-0400-0000-0000000c5c8a,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161507,-88.144504,45.056829,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161509,-88.1094,45.021656,00005557-4900-0400-0000-0000001bfb8a,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161511,-88.1401496,45.0640215,00005557-4900-0400-0000-0000000c5a10,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161512,-88.082748,45.007325,00005557-4900-0400-0000-0000000c6be0,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161513,-88.163644,45.036779,00005557-4900-0400-0000-0000000c59b3,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161514,-88.207897,45.041553,00005557-4900-0400-0000-0000001bf97c,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161515,-88.12979,45.056437,00005557-4900-0400-0000-0000000c5c21,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161516,-88.128766,45.025432,00005557-4900-0400-0000-000000007511,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161517,-88.277492,45.005253,00005557-4900-0400-0000-0000001bfc81,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161519,-88.241762,45.008131,00005557-4900-0400-0000-0000000c8932,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161520,-88.235809,45.005186,daa01572-d56b-4ea3-910d-37a56678ec92,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161523,-88.183922,45.013792,00005557-4900-0400-0000-0000000c88fb,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161524,-88.221137,45.039716,00005557-4900-0400-0000-000000176a68,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161525,-88.220135,45.040259,00005557-4900-0400-0000-000000176a68,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161526,-88.193905,44.991187,00005557-4900-0400-0000-0000000c88fc,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161528,-88.209187,45.041562,00005557-4900-0400-0000-0000001bf97c,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161530,-88.149864,45.015071,00005557-4900-0400-0000-0000000c88e6,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161534,-88.178632,44.989275,00005557-4900-0400-0000-0000001bfeee,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161536,-88.23723,45.025251,00005557-4900-0400-0000-0000000c8882,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161537,-88.235521,45.02675,93ed4175-ba12-4a93-83c0-c405bd121f30,1,6.0,180.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161539,-88.208783,45.012981,00005557-4900-0400-0000-0000000c88c0,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161541,-88.185533,45.019569,00005557-4900-0400-0000-0000000c88cf,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161543,-88.19569,45.019837,00005557-4900-0400-0000-0000001bfef0,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161546,-88.228616,45.040723,b153f40c-0f66-4cdf-9b4f-8037154eaa03,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161550,-88.262558,44.952347,00005557-4900-0400-0000-0000001bfc77,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161552,-88.164201,44.95086,e89924e7-2b2a-430d-a36b-59c7ed38775d,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161553,-88.190098,44.962403,00005557-4900-0400-0000-0000000c888a,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161554,-88.187118,44.983747,00005557-4900-0400-0000-0000000c8899,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161555,-88.207416,45.030596,00005557-4900-0400-0000-0000000c5985,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161560,-88.185245,45.022978,00005557-4900-0400-0000-0000000c88d1,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161562,-88.231695,45.014235,00005557-4900-0400-0000-0000001d65a8,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161565,-88.234321,45.017834,00005557-4900-0400-0000-0000001bff09,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161566,-88.233838,44.938616,00005557-4900-0400-0000-000000003f40,1,6.0,180.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161570,-88.26855084,44.91083103,86e21f09-a471-4a59-a769-2905389565ca,1,6.0,180.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161571,-88.218342,44.937129,00005557-4900-0400-0000-0000001b9414,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161573,-88.218332,44.942528,00005557-4900-0400-0000-0000001bfeb7,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161575,-88.274228,44.901746,00005557-4900-0400-0000-0000000c6583,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161576,-88.278146,44.903913,00005557-4900-0400-0000-0000000c6553,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161577,-88.276673,44.905753,00005557-4900-0400-0000-0000000c6573,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161585,-88.257892,44.896588,00005557-4900-0400-0000-0000001e27f9,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161586,-88.245963,44.874063,00005557-4900-0400-0000-0000001bfdbc,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161590,-88.200952,44.852455,00005557-4900-0400-0000-0000001b9416,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161592,-88.243052,44.865177,00005557-4900-0400-0000-0000001bfdee,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161595,-88.248023,44.808255,9cb94475-f5a7-4c71-8272-a9f80cb30c26,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161597,-88.250855,44.831061,00005557-4900-0400-0000-000000003e9a,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161602,-88.191463,44.851055,00005557-4900-0400-0000-000000003f43,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161604,-88.159193,45.05614,00005557-4900-0400-0000-0000000c5c84,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161612,-88.225348,44.87267,00005557-4900-0400-0000-0000000c801e,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161614,-88.250467,44.879549,d942ddb4-18e4-4244-8983-ef0af1cc3fc8,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161615,-88.267362,44.852658,00005557-4900-0400-0000-000000101607,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161616,-88.250445,44.922571,00005557-4900-0400-0000-00000000b94f,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161617,-88.26261,44.871513,00005557-4900-0400-0000-0000000c6528,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161618,-88.269836,44.872546,00005557-4900-0400-0000-0000000c6522,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161620,-88.21669,44.895521,00005557-4900-0400-0000-0000001e3045,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161622,-88.2166902,44.8955218,00005557-4900-0400-0000-0000001e3045,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161626,-88.268933,44.939418,d0f6e941-8bf3-4bb8-b242-0a3afa135991,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161633,-88.243122,45.029945,00005557-4900-0400-0000-0000000c5828,1,2.0,60.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161635,-88.205233,44.868168,00005557-4900-0400-0000-0000000c805b,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161654,-88.080154,45.065893,00005557-4900-0400-0000-0000001d6ea1,1,4.0,120.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161682,-88.248996,44.898154,00005557-4900-0400-0000-0000001c5af6,1,2.0,60.0,1,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161722,-88.241973,44.896411,c877d41f-8608-440f-9148-6a5bdb3c0e81,1,6.0,180.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
11161726,-88.241973,44.896411,c877d41f-8608-440f-9148-6a5bdb3c0e81,1,4.0,120.0,2,1,1,0,0,0,0,0,0,4,0,0,1,0,1027633
