custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505879,-86.108357,39.914651,761938425,1,4.0,212.0,2,3,1,1,1,0,0,0,0,A,0,0,1,0,1042199
4505469,-86.065593,39.883889,1279098985,1,8.0,424.0,1,3,1,1,0,1,0,0,0,A,1,0,1,0,1042199
4505820,-86.075452,39.903582,1279176729,1,8.0,424.0,1,3,1,1,0,1,0,0,0,A,0,0,1,0,1042199
4506080,-86.108873,39.919861,1241719743,1,8.0,424.0,1,3,1,1,0,1,0,0,0,A,1,0,1,0,1042199
4506736,-86.009682,39.8467,1293455081,1,8.0,424.0,2,3,1,1,0,0,1,0,0,A,0,0,1,0,1042199
4505704,-86.001328,40.039828,1278371641,1,8.0,424.0,1,3,1,0,1,1,0,0,0,A,0,0,1,0,1042199
4505817,-86.037772,39.925776,1148893264,1,2.0,106.0,2,3,1,0,1,1,0,0,0,A,1,0,1,0,1042199
4506206,-86.048695,39.906573,1293643183,1,8.0,424.0,2,3,1,0,1,1,0,0,0,A,1,0,1,0,1042199
4506298,-86.0496,39.895868,1296716750,1,10.0,530.0,2,3,1,0,1,1,0,0,0,A,0,0,1,0,1042199
4505202,-86.014285,40.047088,1148898540,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505208,-86.070546,39.884109,1279030261,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505224,-86.014266,40.047027,1148898540,1,2.0,106.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505227,-86.00619,39.992614,1278259819,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505228,-86.005168,40.001743,1278269729,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505229,-86.014412,39.957772,1278452936,12,24.0,1272.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505245,-85.993903,40.049221,1278374347,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505251,-86.012398,39.954022,1278394692,1,6.0,318.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505252,-86.012427,39.953967,1278394692,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505253,-86.092768,39.905548,1196915642,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505255,-86.100023,39.910419,125144429,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505276,-86.027207,39.927493,1148890603,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505277,-86.037004,39.925472,1148893264,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505279,-86.087111,39.925613,1278977166,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505296,-86.089983,39.97239,1309564985,1,3.0,159.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505297,-86.12565,40.009151,1278310384,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505298,-86.011262,39.955095,1240057991,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505299,-86.043694,39.949702,907515942,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505300,-86.025883,39.930341,1242117101,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505302,-86.063043,39.905742,1197697463,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505323,-86.040254,39.951508,1278603306,1,4.0,212.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505336,-86.013499,40.025762,1220135209,2,16.0,848.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505338,-86.025566,40.047487,1324398824,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505340,-86.042569,39.999678,1220140455,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505341,-86.014939,39.957125,125132216,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505343,-86.006627,39.960923,1278396200,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505363,-86.041659,39.949862,1050329879,3,9.0,477.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505386,-86.070923,39.881884,1197411967,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505402,-85.995408,39.985027,1220057290,1,4.0,212.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505403,-86.126718,40.006781,1039103367,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505405,-86.01971,39.957538,1149015292,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505420,-86.012887,40.046152,1067233611,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,1,0,1,0,1042199
4505424,-86.041442,39.950425,1278298298,1,8.0,424.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505425,-86.041298,39.950732,1278298298,1,3.0,159.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505431,-86.042364,39.91736,1279102084,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505446,-86.103198,40.041319,1220134572,1,10.0,530.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505448,-86.106372,40.001304,1220046083,1,3.0,159.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505450,-86.015364,39.929205,1197912753,1,10.0,530.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505453,-86.079137,39.90867,1279181912,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505471,-86.104856,39.913895,761970332,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505472,-86.041685,39.904454,1196493447,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505491,-86.00399,40.014848,1278330459,2,16.0,848.0,2,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505493,-86.008449,39.980051,1278249455,1,8.0,424.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
4505494,-86.128646,40.020012,1336026827,1,6.0,318.0,1,3,1,0,1,0,1,0,0,A,0,0,1,0,1042199
