custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
4505223,-86.000958,40.04246,19491175,1,2.0,106.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0,1042199
4505231,-86.013031,39.96108,1282032360,1,6.0,318.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0,1042199
4505594,-86.121641,40.014139,1205519087,1,2.0,106.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0,1042199
4505610,-86.12511,40.073313,1278246022,1,6.0,318.0,2,1,1,0,0,0,0,0,0,E,0,0,1,0,1042199
4505884,-86.117577,39.853189,1296704131,1,10.0,530.0,1,1,1,0,0,0,0,0,0,E,0,0,1,0,1042199
4505918,-86.009382,40.161368,1219926207,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4505977,-86.032833,40.032824,1149541704,1,3.0,159.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506005,-86.128557,40.04318,1144655270,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506015,-85.937575,39.885219,1278268805,1,2.0,106.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506040,-86.095122,39.929136,1370457925,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506093,-85.938902,40.119726,761708366,1,6.0,318.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506097,-86.037561,39.922988,1050429287,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506127,-86.04222,39.917278,1279102084,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506154,-85.939425,40.160923,1278370837,1,2.0,106.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506220,-86.129143,40.043038,1278380901,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506255,-86.045289,39.844551,125159020,1,3.0,159.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506277,-85.862261,40.217467,1163060237,1,6.0,318.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506310,-85.993349,39.980295,1278400069,1,2.0,106.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506338,-86.022433,40.174999,35258742,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506371,-85.967292,40.18481,35259655,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506372,-85.968729,40.104579,19489531,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506402,-85.998755,40.032265,1278362873,1,6.0,318.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506431,-85.979649,40.189289,35259653,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506432,-85.975807,40.08453,1306793825,1,2.0,106.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506463,-85.942922,40.130092,1067326338,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506468,-86.090818,40.001036,1278394943,1,12.0,636.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506471,-86.008002,39.960966,1278452957,1,3.0,159.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506475,-86.101686,39.910811,125144428,1,2.0,106.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506491,-85.947374,40.14596,774441354,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506492,-85.9986,40.032597,1278362844,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506505,-85.99807,39.854378,1279245244,1,8.0,424.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506541,-86.018361,39.843054,1279219896,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506556,-86.034594,39.926425,1197853666,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506560,-86.013016,39.961078,1282032359,1,6.0,318.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506615,-86.008164,40.17592,1278391908,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506626,-86.09803,39.924264,1264654981,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506646,-85.989897,40.198258,35258555,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506676,-85.955314,40.095744,19489642,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506682,-86.017208,40.026395,1278313434,1,8.0,424.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506706,-86.032229,40.091869,1278558598,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506810,-85.95905,39.904492,1197312684,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506815,-86.0794,39.876691,1279055652,1,2.0,106.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4506833,-85.957788,39.90109,1162415744,1,8.0,424.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507100,-86.082583,39.877039,1279023932,1,4.0,212.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507128,-86.074031,39.878727,1279016422,1,3.0,159.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507184,-86.119935,39.886023,1296783038,1,4.0,212.0,2,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
4507291,-86.05883,39.893278,19503104,1,3.0,159.0,1,1,0,1,0,0,0,0,0,E,0,0,1,0,1042199
11163275,-88.447217,44.927462,00005557-4900-0400-0000-0000000c911c,1,6.0,180.0,2,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
11163345,-88.295711,44.950275,00005557-4900-0400-0000-0000000c734d,1,2.0,60.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
11163348,-88.2952138,44.9610543,00005557-4900-0400-0000-0000000c7341,1,6.0,180.0,1,1,0,0,1,0,0,0,0,E,0,0,1,0,1027633
