custno,xcoord,ycoord,edgeid,qty,volume,weight,sos,frequency,BEF_MON,BEF_TUE,BEF_WED,BEF_THU,BEF_FRI,BEF_SAT,BEF_SUN,dowcd,dowlockcd,wccd_flag,material_typ,clusterid,dataset_id
11161430,-88.06643,44.960246,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161433,-88.071861,44.956753,00005557-4900-0400-0000-0000000c6ba6,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161434,-88.085838,44.957635,00005557-4900-0400-0000-0000000c6b61,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161448,-88.165962,44.966365,00005557-4900-0400-0000-0000000c88a7,1,6.0,180.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161486,-88.070651,44.981977,00005557-4900-0400-0000-0000000c6c22,1,8.0,240.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161490,-88.104015,45.014717,00005557-4900-0400-0000-0000001bfb89,1,6.0,180.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161491,-88.253491,45.00478,fbba71d0-62f2-4ac0-8b14-2f15f300bfd4,1,4.0,120.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161505,-88.143786,45.057329,00005557-4900-0400-0000-0000001bf9bd,1,2.0,60.0,2,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161506,-88.139896,45.053002,00005557-4900-0400-0000-0000000c5a08,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161521,-88.123704,45.025369,00005557-4900-0400-0000-0000000c5c88,1,4.0,120.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
11161522,-88.184942,45.038893,bc9f656a-8ec7-4828-8e1e-6087a232ceef,1,8.0,240.0,1,1,1,0,0,0,0,0,0,O,0,0,1,0,1027633
