custno,volume,weight,material_typ,frequency,dowcd_BEF,week_BEF,day_BEF,changed,week_AFT,day_AFT,AFT_MON,AFT_TUE,AFT_WED,AFT_THU,AFT_FRI
11161428,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(1, 0, 0, 0, 0, 0, 0)",1,0,0,0,0
11161429,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161430,4.0,120.0,1,1,O,"(1, 3)","(1, 0, 0, 0, 0)",1,"(1, 3)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161433,4.0,120.0,1,1,O,"(1, 3)","(1, 0, 0, 0, 0)",0,"(1, 3)","(1, 0, 0, 0, 0)",1,0,0,0,0
11161434,4.0,120.0,1,1,O,"(1, 3)","(1, 0, 0, 0, 0)",1,"(1, 3)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161435,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161439,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(1, 0, 0, 0, 0)",1,0,0,0,0
11161440,6.0,180.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(1, 0, 0, 0, 0, 0, 0)",1,0,0,0,0
11161441,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(1, 0, 0, 0, 0, 0, 0)",1,0,0,0,0
11161442,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161443,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161444,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161445,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161446,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161448,6.0,180.0,1,1,O,"(1, 3)","(1, 0, 0, 0, 0)",1,"(2, 4)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161449,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161450,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(1, 0, 0, 0, 0)",1,0,0,0,0
11161451,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161452,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(1, 0, 0, 0, 0, 0, 0)",1,0,0,0,0
11161453,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161454,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161460,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161462,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161463,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(1,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161464,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161465,6.0,180.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161466,8.0,240.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(4,)","(0, 0, 1, 0, 0, 0, 0)",0,0,1,0,0
11161467,4.0,120.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(1, 0, 0, 0, 0)",1,0,0,0,0
11161468,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(1, 0, 0, 0, 0, 0, 0)",1,0,0,0,0
11161470,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(2,)","(0, 0, 0, 1, 0, 0, 0)",0,0,0,1,0
11161471,2.0,60.0,1,1,4,"(4,)","(1, 0, 0, 0, 0)",1,"(3,)","(1, 0, 0, 0, 0)",1,0,0,0,0
